token_id,timestamp,total_s,quantization_s,uart_send_s,uart_recv_s,dequantization_s,cpu_remaining_s,fpga_cycles,scale_A,scale_B,cpu_linear_s,linear_calls,token_linear_macs,tile_cpu_float_4x4_s,tile_cpu_int8_4x4_s,tile_uart_wall_s,tile_ideal_uart_s,tile_fpga_compute_est_s,tile_uart_overhead_est_s,fpga_macs_per_cycle_eff,fpga_eff_gmacs
198,1768743959.4723883,0.6221138610053458,0.0001263779995497316,0.0,0.1108475580040249,0.0,0.2010869269943214,10,945.6779,268.01822,0.2010869269943214,48,594542592,1.4778109980397857e-06,2.364336699974956e-06,0.1108475580040249,0.008940972222222222,2e-07,0.1108473580040249,6.4,0.32
198,1768743960.0834603,0.6108501669950783,0.00010034900333266705,0.0,0.010719838996010367,0.0,0.2299767620061175,10,945.6779,268.01822,0.2299767620061175,48,679477248,1.4717189988004975e-06,2.3091216000466373e-06,0.010719838996010367,0.008940972222222222,2e-07,0.010719638996010366,6.4,0.32
2025,1768743960.5977962,0.5141205649997573,0.00011399499635444954,0.0,0.009542428997519892,0.0,0.19145649197889725,10,945.6779,268.01822,0.19145649197889725,48,764411904,1.47911349995411e-06,2.3869503500463906e-06,0.009542428997519892,0.008940972222222222,2e-07,0.009542228997519891,6.4,0.32
376,1768743961.2407153,0.6426680520016816,9.762399713508785e-05,0.0,0.009520587998849805,0.0,0.3095663470303407,10,945.6779,268.01822,0.3095663470303407,48,849346560,1.4760230005776976e-06,2.3345080000581218e-06,0.009520587998849805,0.008940972222222222,2e-07,0.009520387998849805,6.4,0.32
6968,1768743961.8457377,0.6048553990040091,9.749400487635285e-05,0.0,0.009595759998774156,0.0,0.26593578899337444,10,945.6779,268.01822,0.26593578899337444,48,934281216,1.501781000115443e-06,2.3621796499355697e-06,0.009595759998774156,0.008940972222222222,2e-07,0.009595559998774155,6.4,0.32
32,1768743962.380459,0.5345484479985316,0.00010086000111186877,0.0,0.00953076699806843,0.0,0.19102535102138063,10,945.6779,268.01822,0.19102535102138063,48,1019215872,1.5109634987311438e-06,2.3808934500266334e-06,0.00953076699806843,0.008940972222222222,2e-07,0.009530566998068429,6.4,0.32
318,1768743962.9503345,0.5697023199973046,0.00010696100071072578,0.0,0.009521179999865126,0.0,0.22258146200329065,10,945.6779,268.01822,0.22258146200329065,48,1104150528,1.5053629977046513e-06,2.3664647502300795e-06,0.009521179999865126,0.008940972222222222,2e-07,0.009520979999865125,6.4,0.32
257,1768743963.608459,0.657959304000542,9.882700396701694e-05,0.0,0.009916824994434137,0.0,0.28258807299425825,10,945.6779,268.01822,0.28258807299425825,48,1189085184,1.4908704979461619e-06,2.341264749702532e-06,0.009916824994434137,0.008940972222222222,2e-07,0.009916624994434136,6.4,0.32
2099,1768743964.2287595,0.6201451169981738,9.937700087903067e-05,0.0,0.009571684000547975,0.0,0.283447279012762,10,945.6779,268.01822,0.283447279012762,48,1274019840,1.5135329995246138e-06,2.3645561501325574e-06,0.009571684000547975,0.008940972222222222,2e-07,0.009571484000547975,6.4,0.32
286,1768743964.793397,0.5638105160032865,0.0001035450040944852,0.0,0.00954169799661031,0.0,0.2179337800189387,10,945.6779,268.01822,0.2179337800189387,48,1358954496,1.5028535017336252e-06,2.364718500029994e-06,0.00954169799661031,0.008940972222222222,2e-07,0.00954149799661031,6.4,0.32
